Source,Translation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Afrikaans,ullr ullinn,,you,ullr,you,ull ull,in a,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian,ullr ullinn,,seat,olive,olive oil,olive oil,ulr ul,olive oil,olive tree,olive oil,n N,linn,olive,olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amharic,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,ullr ullinn,,ullr,ulr u,ulr ul,ulr ulli,ulr ullin,ulr ullinn,ulr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,ullr ulinn,,u:,street:,ull:,ullr:,ullr:,ullr u:,ullr ul:,ullr uli:,ullr ulin:,ullr ulinn:,nn:,inn:,Linn:,ulin:,ulin:,r ulinn:,lr ulinn:,llr ulinn:,ullr ulinn:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assamese,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aymara,ullr ullinn ukat jukâ€™ampinaka,,ullr,ullr ullinn,ullr ullinn the,ullr ullinn and,ullr ullinn and,ullr ullinn j,ullr ullinn and ju,ullr ullinn and more,ullr ullinn .,ullr ullinn short,ullr ullinn and more,ullr ullinn and more,ullr ullinn,ullr ullinn and above,ullr ullinn and so on,ullr ullinn and so on,ullr ullinn,this,roughly,inanaka,â€™amps,kâ€™ampis,and others,several,several,t slightly less,at others,cat and others,and so on,and so on,n and so on,nn and so on,inn and so on,linn and others,llinn and others,ullinn and so on,ullinn and so on,r ullinn snowflakes,lr ullinn,llr ullinn,ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijani,ullr ullinn,,ullr,ull ull ull,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque,ullr ullinn,,ullr,ullr ull,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarusian,ÑƒÐ»Ð»Ñ€ ÑƒÐ»Ñ–Ð½Ð½,,in,str,St,ulr,ulr,ullr u,Ullr st,Ullr Uli,Ullr Ulin,ullr ulinn,nn,etc,linn,Ulynn,Ulynn,r ulinn,lr ulinn,llr ulinn,ullr ulinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengali,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhojpuri,ullr ullinn à¤•à¥‡ à¤¬à¤¾,,ullr,ullr ullinn,ullr ullinn a,of ullr ullinn,of ullr ullinn,ullr ullinn b,ullr ullinn,There is,There is,à¥‡ b,Who is the,Who is the,n of the b,nn of the b,of the inn,linn of the b,of llinn,of ullinn,of ullinn,of r ullinn,lr ullinn,llr ullinn,ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnian,ullr ullinn,,in,st,ullr,ullr st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarian,ullr ullinn,,street,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalan,ullr ullinn,,street,eye,eye,eye,look at you,look look,eye eye,look look,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebuano,ullr ullinn,,ullr,ullrr u,linn,ullin,ullin,lr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyanja (Chichewa),uwu uln,,ugh,this,this,this u,this street,this uln,ul,ul,wu ul,this uln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese (Simp),ä¹Œå°”å‹’ä¹Œæž—,,black,Ur,urle,urleu,urleullin,Ulin,Leulin,Erleulin,urleullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese (Trad),çƒçˆ¾å‹’çƒæž—,,black,Ur,urle,urleu,urleullin,Ulin,Leulin,Erleulin,urleullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsican,ullr ullinn,,ullr,ull,lol lol,ullrr ulli,ulrr ullin,no,linn,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatian,ullr ullinn,,in,st,ullr,ullr st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech,ullr ullinn,,at,hive,ullr,ullrr u,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danish,ullr ullinn,,street,wool,ullr,ulrr u,wooll wooll,ullrr ulli,ullr woollin,no,in,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhivehi,ullr ullinn Þ‡Þ¬ÞˆÞ¬,,ullr,ullr ullinn,ullr ullinn a,ullr ullinn a,ullr ullinn av,ullr ullinn,V.S,s,is the source,is the source,n is the source,nn is the source,inn is the source,linn is the source,llinn is the source,ullinn is the source,ullinn is the source,r ullinn,lr ullinn,llr ullinn,ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dogri,à¤‰à¤²à¥à¤²à¤° à¤‰à¤²à¥à¤²à¥€à¤¨,,A,UL,Ul,Ull,Ullar,Ullar,Ullar u,Ullar ul,Ullar ul,Ullar Ull,Ullar Ulli,Ullar Ullin,sn,Absorbed,slin,Lleen,Ullin,Ullin,and Ullin,Lar Ullin,LR Ullin,Llr Ullin,Ullar Ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch,ullr ullinn,,you,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esperanto,ullr ullinn,,ullr,ullrr u,ullrr ull,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonian,ullr ullinn,,approx,exercise,ullr,ullr approx,lol lol,ullr ullr,the so-called,city,city,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filipino,ullr ullinn,,st,ullr,ullrr u,ullrr ull,ullrr ulli,ullrr ullin,linn,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnish,ullr ullinn,,street,ullr,lol lol,the so-called,city,linn,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frisian,ullr ullinn,,st,ullr,ull,ull ull,in,linn,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galician,ullr ullinn,,you,street,ullr,ulrr u,ullrr ull,ullrr ull,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
