Source Language,Formatted Translations,,,,,,,,,,,,,,,,,,,,,,,,,,
Afrikaans,ullr ullinn,1. you<br>2. ullr<br>3. you<br>4. ull ull<br>5. in a<br>6. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian,ullr ullinn,1. seat<br>2. olive<br>3. olive oil<br>4. olive oil<br>5. ulr ul<br>6. olive oil<br>7. olive tree<br>8. olive oil<br>9. n N<br>10. linn<br>11. olive<br>12.  olive,,,,,,,,,,,,,,,,,,,,,,,,,
Amharic,ullr ullinn,1. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,ullr ullinn,1. ullr<br>2. ulr u<br>3. ulr ul<br>4. ulr ulli<br>5. ulr ullin<br>6. ulr ullinn<br>7. ulr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,ullr ulinn,1. u:<br>2. street:<br>3. ull:<br>4. ullr:<br>5. ullr:<br>6. ullr u:<br>7. ullr ul:<br>8. ullr uli:<br>9. ullr ulin:<br>10. ullr ulinn:<br>11. nn:<br>12. inn:<br>13. Linn:<br>14. ulin:<br>15.  ulin:<br>16. r ulinn:<br>17. lr ulinn:<br>18. llr ulinn:<br>19. ullr ulinn:,,,,,,,,,,,,,,,,,,,,,,,,,
Assamese,ullr ullinn,1. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Aymara,ullr ullinn ukat jukâ€™ampinaka,1. ullr<br>2. ullr ullinn<br>3. ullr ullinn the<br>4. ullr ullinn and<br>5. ullr ullinn and<br>6. ullr ullinn j<br>7. ullr ullinn and ju<br>8. ullr ullinn and more<br>9. ullr ullinn .<br>10. ullr ullinn short<br>11. ullr ullinn and more<br>12. ullr ullinn and more<br>13. ullr ullinn<br>14. ullr ullinn and above<br>15. ullr ullinn and so on<br>16. ullr ullinn and so on<br>17. ullr ullinn<br>18. this<br>19. roughly<br>20. inanaka<br>21. â€™amps<br>22. kâ€™ampis<br>23. and others<br>24. several<br>25.  several<br>26. t slightly less<br>27. at others<br>28. cat and others<br>29. and so on<br>30.  and so on<br>31. n and so on<br>32. nn and so on<br>33. inn and so on<br>34. linn and others<br>35. llinn and others<br>36. ullinn and so on<br>37.  ullinn and so on<br>38. r ullinn snowflakes<br>39. lr ullinn<br>40. llr ullinn<br>41. ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijani,ullr ullinn,1. ullr<br>2. ull ull ull<br>3. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Basque,ullr ullinn,1. ullr<br>2. ullr ull<br>3. ullin<br>4.  ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Belarusian,ÑƒÐ»Ð»Ñ€ ÑƒÐ»Ñ–Ð½Ð½,1. in<br>2. str<br>3. St<br>4. ulr<br>5. ulr<br>6. ullr u<br>7. Ullr st<br>8. Ullr Uli<br>9. Ullr Ulin<br>10. ullr ulinn<br>11. nn<br>12. etc<br>13. linn<br>14. Ulynn<br>15.  Ulynn<br>16. r ulinn<br>17. lr ulinn<br>18. llr ulinn<br>19. ullr ulinn,,,,,,,,,,,,,,,,,,,,,,,,,
